Panelist,Session,Rank,Product,Spicy,Heady,Fruity,Green,Vanilla,Floral,Woody,Citrus,Marine,Greedy,Oriental,Wrapping
RL,2,6,Pleasures,0.1,0,9.9,0.3,0,5,0.9,5,0.1,0,0,0

RL,2,7,Chanel N5,9.2,9.9,0,0.6,8.8,5.1,1.1,0,0,0,10,10

RL,2,8,L'instant,0,0,1.3,0,5,9.7,1.9,0,0,7.3,9.9,10

RL,2,9,J'adore ET,0,0,0.4,2.4,0,9.9,2.1,4.9,0,0,0,0

RL,2,10,Shalimar,10,10,2.2,0.4,9.4,2.4,9.7,1.3,0,0,10,10

RL,2,11,J'adore EP,0,0.1,5,0.7,0,9.5,2.6,7.8,0,0,0,0.8

RL,2,12,Cinéma,0.1,0,5,0,8,5,2.3,1.1,0.2,5,9.9,10

PR,1,1,Shalimar,6,8,1.2,0,0.5,3.3,1.3,0,0,0.7,1.2,8.5

PR,1,2,Cinéma,0.5,2.3,0,0,5,6,1,0,0.5,1,3.8,5.7

PR,1,3,L'instant,0,0.7,2.2,1.5,3.2,5.8,0.5,0.7,0.6,0.8,5,7

PR,1,4,J'adore EP,0,1.2,6.8,2.7,0.5,8.3,1.8,0.7,1.5,0.5,0.7,1.8

PR,1,5,Pleasures,1.3,2.8,2.9,1.7,0.5,5.8,1,0.2,1.3,0.5,0.5,2

PR,1,6,J'adore ET,1,1.7,2.5,1,0.7,6.3,1,0.2,0.1,0.7,0.6,1.2

PR,1,7,Aromatics Elixir,6,9.2,5.7,0.3,1.3,2.7,6.3,0.2,0,1,9.1,9.2

PR,1,8,Chanel N5,6,7.6,4.1,2.1,2.2,8.6,1,0.3,0.4,0.2,5.4,9.7

PR,1,9,Pure Poison,0.2,2.1,0.6,0.5,0.5,7.3,0.5,0.3,1.4,0.2,0.8,9.2

PR,1,10,Angel,1.7,8.7,0.5,0.4,9.2,3.9,0.8,0.2,0.2,9.8,8.3,8.5

PR,1,11,Lolita Lempicka,1,8.2,1.2,0.4,6,1.5,1.5,0.3,0.2,9.3,5.7,7.5

PR,1,12,Coco Mademoiselle,0.6,4.5,1.7,5,5.5,7.3,0.9,0.3,0.2,5.4,4.2,5.5

PR,2,1,Coco Mademoiselle,0.3,0.5,0.2,1,0.2,5.8,0.5,0.2,0.2,1,1,2.7

PR,2,2,Lolita Lempicka,3.2,8.8,2.7,0.3,7.8,1.7,0.2,0.2,0.2,9.2,4,7.9

PR,2,3,Angel,1.8,8.8,1.4,0.2,9.5,1,0.2,0.1,0.1,9.5,7,8.8

PR,2,4,Pure Poison,0.2,1.6,1,0.2,0.5,7.5,0.5,0.2,0,2.1,0.7,8.5

PR,2,5,Chanel N5,0.4,8,0.3,0.3,0.8,7.8,0.4,0.2,0,0.5,1.2,8.5

PR,2,6,Aromatics Elixir,4,9,2.3,0.3,0.4,3.4,0.2,0.2,0,1.3,7.3,9.3

PR,2,7,J'adore ET,0.5,1.5,6.2,0.6,0.3,6.3,0.3,6.2,0,1,1,4.5

PR,2,8,Pleasures,0.2,0.2,1,0.7,1.5,5.5,0.6,0.2,0,0.2,0.5,3.5

PR,2,9,J'adore EP,0.5,2,3,0.5,0.5,5.8,0.3,0.2,0,0.8,0.6,4.5

PR,2,10,L'instant,0.3,2.4,0.4,0.4,0.5,5.6,0.5,0.2,0,0.5,0.5,4.2

PR,2,11,Cinéma,0.5,2,0.5,0.5,0.5,7.5,0.5,0.2,0,0.5,4.2,6.3

PR,2,12,Shalimar,5.2,9,3.3,0.5,1.5,2.2,2.3,0.2,0,1.2,8.7,8

